Code commune;Nom de la commune;Bg Emplacement;Adresse compléte;Code departement;Contenance;Nom complet du proprietaire [BG];Adresse compléte [BG]
7221;SAINT-CIERGE-LA-SERRE;07221 A 1;BONE;7;1950;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 2;BONE;7;8150;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 3;BONE;7;32830;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 4;BONE;7;1990;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 5;BONE;7;470;Jasmine; LA JOIE 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 6;BONE;7;1010;Jasmine; LA JOIE 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 7;BONE;7;2133;Jasmine; LA JOIE 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 8;BONE;7;4063;Jasmine; LA JOIE 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 9;BONE;7;5892;Lucien Bianchi;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 9;BONE;7;5892;Spip;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 10;BONE;7;3671;Lucien Bianchi;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 10;BONE;7;3671;Spip;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 11;BONE;7;4710;Lucien Bianchi;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 11;BONE;7;4710;Spip;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 12;BONE;7;2860;Lucien Bianchi;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 12;BONE;7;2860;Spip;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 13;BONE;7;294;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 14;BONE;7;506;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 15;BONE;7;571;Lucien Bianchi;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 15;BONE;7;571;Spip;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 16;BONE;7;884;Jasmine; LA JOIE 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 17;BONE;7;917;Lucien Bianchi;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 17;BONE;7;917;Spip;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 18;BONE;7;25590;Lucien Bianchi;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 18;BONE;7;25590;Spip;34 LA BOURGALINE BCHE DU VALENTIN 26500 BOURG LES VALENCE
7221;SAINT-CIERGE-LA-SERRE;07221 A 19;GRANGEON;7;8670;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 20;GRANGEON;7;15590;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 21;GRANGEON;7;44590;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 22;GRANGEON;7;22;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 23;GRANGEON;7;3970;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 24;GRANGEON;7;1680;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 25;GRANGEON;7;950;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 26;GRANGEON;7;196;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 27;LUBAC;7;19300;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 28;LUBAC;7;1980;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 29;LUBAC;7;14190;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 30;LUBAC;7;1770;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 31;LUBAC;7;4320;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 32;LUBAC;7;36840;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 33;LUBAC;7;15220;Fantasio; 94 CHE DE LA MINE GRANGEON 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 34;LUBAC;7;5052;Béryl Gastaldello; LA JOIE 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 35;LUBAC;7;16180;Béryl Gastaldello; LA JOIE 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 36;LUBAC;7;10000;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 37;LUBAC;7;23190;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 38;LUBAC;7;880;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 39;LUBAC;7;6330;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 40;LUBAC;7;958;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 41;LUBAC;7;7870;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 42;LUBAC;7;570;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 43;LUBAC;7;88020;The Eagles; A E LUBAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 44;LE PUY;7;3740;Stéphane Diagana; LE PLOT LE PLOT DE CHASSAC 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 45;LE PUY;7;22150;Marie Dorin-Habert; 31 CHEMIN DES LAURIERS 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 46;LE PUY;7;4578;Mehdi Baala; LE VILLAGE 07210 ALISSAS
7221;SAINT-CIERGE-LA-SERRE;07221 A 47;LE PUY;7;27260;Béryl Gastaldello; LA JOIE 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 48;LE PUY;7;7660;Béryl Gastaldello; LA JOIE 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 49;LE PUY;7;7600;Marie Dorin-Habert; 31 CHEMIN DES LAURIERS 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 50;LE PUY;7;11710;Marie Dorin-Habert; 31 CHEMIN DES LAURIERS 07800 SAINT-CIERGE-LA-SERRE
7221;SAINT-CIERGE-LA-SERRE;07221 A 51;LE PUY;7;5460;Prunelle; LES GRANDES VIGNES 07610 VION
7221;SAINT-CIERGE-LA-SERRE;07221 A 51;LE PUY;7;5460;Santana;38 RUE HENRI MATISSE 07500 GUILHERAND GRANGES
